Question	Ground Truth	Oracle Answer	Judgment
As of August 4, 2024, in what state was the first secretary of the latest United States federal executive department born?	Pennsylvania	Tom Ridge, the first Secretary of Homeland Security, was born in Munhall, Pennsylvania. Therefore, as of August 4, 2024, the first secretary of the latest United States federal executive department (Department of Homeland Security) was born in the state of Pennsylvania.	yes
As of August 1 2024, what is the most recently described genus of Colosteidae?	Deltaherpeton, first described in 2010	Based on the provided context, the most recently described genus of Colosteidae is Deltaherpeton, which was first named by John R. Bolt and R. Eric Lombard in 2010.	yes
Małgorzata Rożniecka is a model who won the title of Miss International. What is the difference in title years from when she won and the pageant winner who was murdered by her stalker?	10 years	Małgorzata Rożniecka won the title of Miss International in 2001. Agnieszka Kotlarska, who was mentioned as the beauty queen that was later murdered by a stalker, won the title of Miss International in 1991. Therefore, there is a difference of 10 years between their respective title wins.	yes
What was the political party of the person who advocated for the type of government used in Chikhali, Latur district to become the foundation of India's political system?	Indian National Congress	Based on the provided context, Mahatma Gandhi advocated for the type of government used in Chikhali, Latur district to become the foundation of India's political system. The political party Gandhi was closely associated with was the Indian National Congress. Therefore, the answer to the question is the Indian National Congress.	yes
What number would Tommy Lawton have worn playing for Chelsea FC?	9	Based on the context provided, Tommy Lawton wore the number 10 when he played for Chelsea FC.	no
As of August 1, 2024, what is the population of the writer of the "Culdcept Saga"'s birthplace? Write the answer to the nearest million, in characters.	Two million.	As of August 1, 2024, the population of Gifu Prefecture, the birthplace of Tow Ubukata, is approximately 2 million. Therefore, the answer, rounded to the nearest million, is "两百万人" (liǎng bǎi wàn rén) in Chinese characters.	yes
How old would the founder of the publishing company of the magazine that serialized the manga series Raw Hero have been the year the magazine ended publication?	145	The magazine that serialized the manga series "Raw Hero" is Evening, published by Kodansha. Evening ended its publication on February 28, 2023. The founder of Kodansha, Seiji Noma, was born in 1878 and passed away in 1938. Since Seiji Noma is deceased, we calculate how old he would have been if he were still alive in 2023.  If Seiji Noma were still alive in 2023, he would have been:  2023 - 1878 = 145 years old  Therefore, if Seiji Noma were still alive in 2023, he would have been 145 years old when the magazine Evening ended its publication. However, it's important to note that Seiji Noma actually passed away in 1938, so this is purely hypothetical based on the given information.	yes
Of the four main characters on Seinfeld, which actor is the oldest?	Michael Richards	Based on the biographical information provided in the context:  - Jerry Seinfeld was born on April 29, 1954. - Jason Alexander (George Costanza) was born on September 23, 1959. - Julia Louis-Dreyfus (Elaine Benes) was born on January 13, 1961. - Michael Richards (Cosmo Kramer) was born on July 24, 1949.  Among these dates, Michael Richards, born on July 24, 1949, is the oldest of the four main Seinfeld characters.	yes
On the same day that the The Mercedes-Benz W222 arrived at dealerships, a star of the sit-com Modern Family was wed. Who did the star marry?	Justin Mikita	On the same day that the Mercedes-Benz W222 arrived at dealerships (July 20, 2013), Jesse Tyler Ferguson from the sitcom Modern Family got married to his partner Justin Mikita.	yes
As of July 1, 2024, if I wanted to give my daughter the middle name of the American woman who is the most decorated female in the history of American gymnastics as her first name and the full first name of the American woman who holds the world record in the 800-meter freestyle as her middle name, what would I name my daughter? 	Arianne Kathleen	Based on the context provided:  - The most decorated female in the history of American gymnastics is Simone Biles. - The current world record holder in the 800-meter freestyle is Katie Ledecky.  Therefore, you would name your daughter **Simone Katie**.	no
